date,price,1,2,3,4,5,6,7,8,9,10,11,12,13
2011-04-04,0.6181818181818182,-0.07267454545454455,-0.0966936363636367,-0.1271436363636358,-0.16471760147419678,-0.11316033494943667,-0.13160764287203564,-0.04859592121212153,-0.03757396511056099,0.011021956101560537,-0.018447307922598966,-0.04048578949489212,-0.05893309741749109,-0.018447307922598966
2011-04-05,0.6454545454545454,-0.031836363636362885,-0.05622090909090949,-0.09368909090909039,-0.1384912563907088,-0.07770783551699256,-0.09760363055951116,-0.048135254545454864,-0.04480216548161842,0.0033330890638364474,-0.019895795042518594,-0.04587147188062968,-0.06576726692314827,-0.019895795042518594
2011-04-06,0.6727272727272726,0.001638181818182649,-0.020990000000000508,-0.059943636363635755,-0.11253763857994814,-0.045631764601938296,-0.06579342555295509,-0.04897161818181861,-0.052594002216312385,-0.0036223840344937752,-0.02016166095101679,-0.047269946420120945,-0.06743160737113774,-0.02016166095101679
2011-04-07,0.6852727272727273,0.01930909090909183,-0.004337272727273023,-0.042354909090908444,-0.10111021742966986,-0.02993523290823752,-0.0498126179667322,-0.04901809090909126,-0.058755308338761414,-0.009737217429670153,-0.01987738505849468,-0.04924432381732935,-0.06912170887582403,-0.01987738505849468
2011-04-08,0.6818090909090908,0.021120000000000916,-0.00393636363636396,-0.040549090909090424,-0.10527357735545839,-0.03021802457930578,-0.04983907656373687,-0.04901463636363668,-0.06472448644636797,-0.01570985008273129,-0.019621051984431093,-0.051338024579306696,-0.07095907656373779,-0.019621051984431093
2011-04-09,0.6787127272727272,0.005917454545455558,-0.0031130909090911763,-0.03911687272727227,-0.10903461928495728,-0.030141589337978725,-0.049520250446659975,-0.050773836363636526,-0.06991774655768501,-0.019143910194048486,-0.01937866110868125,-0.03605904388343428,-0.05543770499211553,-0.01937866110868125
2011-04-10,0.6699090909090909,-0.0077770909090898455,-0.007579454545454722,-0.04344450909090858,-0.11841489757809265,-0.03523615658716717,-0.054561055338130826,-0.0513938363636367,-0.07497038848718407,-0.023576552123547367,-0.01932489875096366,-0.02745906567807732,-0.04678396442904098,-0.01932489875096366
2011-04-11,0.7,0.016859272727273833,0.022885090909090633,-0.011338327272726767,-0.0892015395075918,-0.004655223925184915,-0.022891427108966522,-0.05195456363636397,-0.07786321223486503,-0.02590864859850106,-0.018236203183781607,-0.021514496652458748,-0.039750699836240355,-0.018236203183781607
2011-04-12,0.7818181818181817,0.07936836363636479,0.09761145454545428,0.06889730909090963,-0.009079702772897935,0.06981410476031702,0.0551250285414282,-0.05083565454545502,-0.07797701186380757,-0.027141357318352544,-0.014689076218888819,-0.009554258876047772,-0.02424333509493659,-0.014689076218888819
2011-04-13,0.8464999999999999,0.1111120000000011,0.14846145454545423,0.12753730909090966,0.053157523572185617,0.12168678742381533,0.1120773726317087,-0.045901472727273074,-0.07437978551872404,-0.028478312791450966,-0.00960941479210664,0.010574787423814236,0.000965372631707595,-0.00960941479210664
2011-04-14,0.9085090909090908,0.12716181818181926,0.18143781818181792,0.1801544000000005,0.11218254398034888,0.1662010327773651,0.1628550786475329,-0.03831601818181851,-0.06797185601965161,-0.0296558378378331,-0.003345954129832185,0.039039214595545824,0.03569326046571364,-0.003345954129832185
2011-04-15,0.8971854545454547,0.07038290909091027,0.14494109090909102,0.16054225454545545,0.09798746123452351,0.14012716818382998,0.1417552200799821,-0.029903672727273123,-0.06255479331093194,-0.03265112058365882,0.0016280518961521162,0.0697442590929197,0.07137231098907182,0.0016280518961521162
2011-04-16,0.9544545454545454,0.07676109090909189,0.1740374545454545,0.20905170909090975,0.15179363934213008,0.17859661536976223,0.18618403271197337,-0.023667672727273104,-0.05725806974877967,-0.03359039702150657,0.0075874173422111335,0.10183552446067035,0.10942294180288148,0.0075874173422111335
2011-04-17,0.9879323301700486,0.06901604595422173,0.17724927897122533,0.2339107460541563,0.18192271300083052,0.19187683817236034,0.2054900871172597,-0.01738938976023574,-0.05198803305332578,-0.03459864329309004,0.013613248944899348,0.12286079221813861,0.13647404116303796,0.013613248944899348
2011-04-18,0.9685671417854465,0.02523742921253025,0.12920828549898777,0.20732578108904542,0.15946164911674143,0.15608196885557424,0.17411684062814892,-0.013359137833617751,-0.04786413197230399,-0.03450499413868624,0.01803487177257468,0.130844539643044,0.14887941141561867,0.01803487177257468
2011-04-19,0.9973326664999582,0.03623823880886845,0.1261118162907765,0.22833509005264985,0.18484568390094747,0.1672429703729189,0.18979318035768755,-0.009729575412709579,-0.04348940615170238,-0.0337598307389928,0.022550209984768643,0.13100473156405046,0.1535549415488191,0.022550209984768643
